,actlevel,X,WEEK,SEASON
2871,1,2008-0912,12,2008-09
2872,1,2008-0912,12,2008-09
2873,1,2008-0912,12,2008-09
2874,1,2008-0912,12,2008-09
2875,1,2008-0912,12,2008-09
2876,1,2008-0912,12,2008-09
2877,1,2008-0912,12,2008-09
2878,1,2008-0912,12,2008-09
2879,1,2008-0912,12,2008-09
2880,1,2008-0912,12,2008-09
2881,1,2008-0912,12,2008-09
2882,1,2008-0912,12,2008-09
2883,1,2008-0912,12,2008-09
2884,1,2008-0912,12,2008-09
2885,1,2008-0912,12,2008-09
2886,1,2008-0912,12,2008-09
2887,1,2008-0912,12,2008-09
2888,1,2008-0912,12,2008-09
2889,1,2008-0912,12,2008-09
2890,2,2008-0912,12,2008-09
2891,2,2008-0912,12,2008-09
2892,2,2008-0912,12,2008-09
2893,2,2008-0912,12,2008-09
2894,2,2008-0912,12,2008-09
2895,2,2008-0912,12,2008-09
2896,2,2008-0912,12,2008-09
2897,2,2008-0912,12,2008-09
2898,3,2008-0912,12,2008-09
2899,3,2008-0912,12,2008-09
2900,3,2008-0912,12,2008-09
2901,3,2008-0912,12,2008-09
2902,4,2008-0912,12,2008-09
2903,4,2008-0912,12,2008-09
2904,4,2008-0912,12,2008-09
2905,6,2008-0912,12,2008-09
2906,6,2008-0912,12,2008-09
1187,1,2008-0913,13,2008-09
1188,1,2008-0913,13,2008-09
1189,1,2008-0913,13,2008-09
1190,1,2008-0913,13,2008-09
1191,1,2008-0913,13,2008-09
1192,1,2008-0913,13,2008-09
1193,1,2008-0913,13,2008-09
1194,1,2008-0913,13,2008-09
1195,1,2008-0913,13,2008-09
1196,1,2008-0913,13,2008-09
1197,1,2008-0913,13,2008-09
1198,1,2008-0913,13,2008-09
1199,1,2008-0913,13,2008-09
1200,1,2008-0913,13,2008-09
1201,1,2008-0913,13,2008-09
1202,1,2008-0913,13,2008-09
1203,1,2008-0913,13,2008-09
1204,1,2008-0913,13,2008-09
1205,1,2008-0913,13,2008-09
1206,1,2008-0913,13,2008-09
1207,1,2008-0913,13,2008-09
1208,1,2008-0913,13,2008-09
1209,1,2008-0913,13,2008-09
1210,1,2008-0913,13,2008-09
1211,1,2008-0913,13,2008-09
1212,1,2008-0913,13,2008-09
1213,1,2008-0913,13,2008-09
1214,1,2008-0913,13,2008-09
1215,1,2008-0913,13,2008-09
1216,1,2008-0913,13,2008-09
1217,1,2008-0913,13,2008-09
1218,1,2008-0913,13,2008-09
1219,1,2008-0913,13,2008-09
1220,1,2008-0913,13,2008-09
1221,1,2008-0913,13,2008-09
1222,1,2008-0913,13,2008-09
1223,1,2008-0913,13,2008-09
1224,1,2008-0913,13,2008-09
1225,1,2008-0913,13,2008-09
1226,1,2008-0913,13,2008-09
1227,2,2008-0913,13,2008-09
1228,2,2008-0913,13,2008-09
1229,2,2008-0913,13,2008-09
1230,2,2008-0913,13,2008-09
1231,2,2008-0913,13,2008-09
1232,2,2008-0913,13,2008-09
1233,3,2008-0913,13,2008-09
1234,3,2008-0913,13,2008-09
1235,4,2008-0913,13,2008-09
1236,4,2008-0913,13,2008-09
1237,6,2008-0913,13,2008-09
1238,1,2008-0914,14,2008-09
1239,1,2008-0914,14,2008-09
1240,1,2008-0914,14,2008-09
1241,1,2008-0914,14,2008-09
1242,1,2008-0914,14,2008-09
1243,1,2008-0914,14,2008-09
1244,1,2008-0914,14,2008-09
1245,1,2008-0914,14,2008-09
1246,1,2008-0914,14,2008-09
1247,1,2008-0914,14,2008-09
1248,1,2008-0914,14,2008-09
1249,1,2008-0914,14,2008-09
1250,1,2008-0914,14,2008-09
1251,1,2008-0914,14,2008-09
1252,1,2008-0914,14,2008-09
1253,1,2008-0914,14,2008-09
1254,1,2008-0914,14,2008-09
1255,1,2008-0914,14,2008-09
1256,1,2008-0914,14,2008-09
